"date","project","chain","address","type","impl_address","ProxyContractName","ProxyCompilerVersion","patches","prevVersions","in_scope"
"12/12/2023","rhinofi","etherscan.io","0xDD1891fea0446f56726d4c4eDFc11cA13F943CA2","impl_proxy","0x65a4b8a0927c7fd899aed24356bf83810f7b9a3f","UniswapV2Router02","v0.8.4+commit.c7e474f2",,"0","True"
"12/12/2023","thegraph","arbiscan.io","0xec9A7fb6CbC2E41926127929c2dcE6e9c5D33Bec","impl_proxy","0x5cbdb6cfb91d435c5899fc05741e7d371fd71667","L2GNS","v0.7.6+commit.7338295f",,"0","False"
"12/12/2023","rhinofi","optimistic.etherscan.io","0x0bCa65bf4b4c8803d2f0B49353ed57CAAF3d66Dc","impl_proxy","0xfc9c9843cae67df0e5f6acaa1c34d8cea24ea6d8","DVFDepositContract","v0.8.4+commit.c7e474f2",,"0","False"
"12/12/2023","eigenlayer","etherscan.io","0x39053D51B77DC0d36036Fc1fCc8Cb819df8Ef37A","impl_proxy","0xf97e97649da958d290e84e6d571c32f4b7f475e4","DelegationManager","v0.8.12+commit.f00d7308",,"0","False"
"12/12/2023","eigenlayer","etherscan.io","0x858646372CC42E1A627fcE94aa7A7033e7CF075A","impl_proxy","0x5d25eef8cfedaa47d31fe2346726de1c21e342fb","StrategyManager","v0.8.12+commit.f00d7308",,"0","False"
"12/12/2023","eigenlayer","etherscan.io","0x1BeE69b7dFFfA4E2d53C2a2Df135C388AD25dCD2","impl_proxy","0xdfda04f980be6a64e3607c95ca26012ab9aa46d3","StrategyBaseTVLLimits","v0.8.12+commit.f00d7308",,"0","True"
"12/12/2023","eigenlayer","etherscan.io","0x7Fe7E9CC0F274d2435AD5d56D5fa73E47F6A23D8","impl_proxy","0x44bcb0e01cd0c5060d4bb1a07b42580ef983e2af","DelayedWithdrawalRouter","v0.8.12+commit.f00d7308",,"0","False"
"12/12/2023","eigenlayer","etherscan.io","0x91E677b07F7AF907ec9a428aafA9fc14a0d3A338","impl_proxy","0xeb86a5c40fde917e6fec440abbcdc80e3862e111","EigenPodManager","v0.8.12+commit.f00d7308",,"0","False"
"12/12/2023","lidoonpolygon","etherscan.io","0x60a91E2B7A1568f0848f3D43353C453730082E46","impl_proxy","0x41912d95d040ecc7d715e5115173d37e4e7cb24e","PoLidoNFT","v0.8.7+commit.e28d00a7",,"0","True"
"12/12/2023","lidoonpolygon","etherscan.io","0x9ee91F9f426fA633d227f7a9b000E28b9dfd8599","impl_proxy","0x6c25aebd494a9984a3d7c8cf395c8713e0c74d98","StMATIC","v0.8.7+commit.e28d00a7",,"0","True"
"12/12/2023","lidoonpolygon","etherscan.io","0x216B8b78e0632138dc38907dd089aAB601ED6EDC","impl_proxy","0xdafa0332e904d5d1f2f1cdc2a3cad636a120f72d","NodeOperatorRegistry","v0.8.7+commit.e28d00a7",,"0","True"
"12/12/2023","spool","etherscan.io","0xc3160C5cc63B6116DD182faA8393d3AD9313e213","impl_proxy","0xbbf8d63c3cfa38ff2c36b58e380bce2f158991c8","SpoolStaking","v0.8.13+commit.abaa5c0e",,"0","True"
"12/12/2023","spool","etherscan.io","0xB8d5Fc11F8E1Af30578dB9F77174A1DC171a7D28","impl_proxy","0x79b91c72d13c47afbb8167f5c2f490313a8924cd","VoSpoolRewards","v0.8.13+commit.abaa5c0e",,"0","True"
"12/12/2023","spool","etherscan.io","0x4c6ee6eD4127a0067B9eb3b425DfCea95ac80cAe","impl_proxy","0xa21035da64b1d157c35ad187afeb8d217c3ba108","ActionManager","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0xB8d7B179bfa7AEBCFBE4174AA3ec11E47264b334","impl_proxy","0x1e1f7be107feadc60b9fa415199391e3ffa509c2","AllowlistGuard","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x1Aa2a802BA25669531Ffd2b1fF8ae94f3D87f41A","impl_proxy","0xef2e91fe2f85bc856d5bf36a412ba395bbbfc1a9","AssetGroupRegistry","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x823Ba38992825FF37E72B6c3D669a09173B8F7bf","impl_proxy","0x93f6ca0be49839e127abad41cef6783e47dc259b","DepositManager","v0.8.17+commit.8df45f5f",,"0","False"
