"id","project","date","maximum_reward","bounty_url","lastUpdated","github_history_url","default_branch","extensions_modified_3_days","files","silther_comments","github_url","commit_messages","languages"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-11-22","github.com/makerdao/optimism-dai-bridge/commits","master","{}","","Before starting, make sure Slither is installed:
$ pip3 install slither-analyzer
- Slither:
  $ pip3 install slither-analyzer","github.com/makerdao/optimism-dai-bridge","<pre></pre>"," 70.23 - TypeScript<br> 17.34 - Solidity<br> 8.69 - Ruby<br> 2.82 - Shell<br> 0.92 - JavaScript"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-09-20","github.com/makerdao/arbitrum-dai-bridge/commits","master","{}","","[![Check](https://github.com/makerdao/arbitrum-dai-bridge/actions/workflows/slither.yml/badge.svg)](https://github.com/makerdao/arbitrum-dai-bridge/actions/workflows/slither.yml)
Before starting, make sure Slither is installed:
$ pip3 install slither-analyzer
- Slither:
  $ pip3 install slither-analyzer","github.com/makerdao/arbitrum-dai-bridge","<pre></pre>"," 66.19 - TypeScript<br> 23.63 - Solidity<br> 7.01 - Ruby<br> 2.34 - Shell<br> 0.83 - JavaScript"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-03-15","github.com/makerdao/starknet-dai-bridge/commits","main","{}","","","github.com/makerdao/starknet-dai-bridge","<pre></pre>"," 46.31 - TypeScript<br> 43.58 - Python<br> 9.3 - Solidity<br> 0.81 - Shell"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2022-06-13","github.com/makerdao/dss-chain-log/commits","master","{}","","","github.com/makerdao/dss-chain-log","<pre></pre>"," 85.23 - Solidity<br> 8.86 - Shell<br> 3.37 - Makefile<br> 2.54 - Nix"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-07","github.com/makerdao/dss-cron/commits","master","{}","","","github.com/makerdao/dss-cron","<pre></pre>"," 99.57 - Solidity<br> 0.24 - Nix<br> 0.13 - Shell<br> 0.06 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-10","github.com/makerdao/dss-direct-deposit/commits","master","{}","","","github.com/makerdao/dss-direct-deposit","<pre></pre>"," 89.32 - Solidity<br> 9.69 - Ruby<br> 0.93 - Shell<br> 0.06 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-07-07","github.com/makerdao/mip21-toolkit/commits","master","{}","","","github.com/makerdao/mip21-toolkit","<pre></pre>"," 97.16 - Solidity<br> 2.55 - Shell<br> 0.3 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-09-17","github.com/makerdao/mkr-authority/commits","master","{}","","","github.com/makerdao/mkr-authority","<pre></pre>"," 96.22 - Solidity<br> 1.93 - Shell<br> 1.35 - Nix<br> 0.49 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-08-12","github.com/makerdao/univ2-lp-oracle/commits","master","{}","","","github.com/makerdao/univ2-lp-oracle","<pre></pre>"," 97.99 - Solidity<br> 1.81 - Shell<br> 0.2 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-09-29","github.com/makerdao/univ3-lp-oracle/commits","master","{}","","","github.com/makerdao/univ3-lp-oracle","<pre></pre>"," 98.1 - Solidity<br> 1.41 - Shell<br> 0.48 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-07-15","github.com/makerdao/dss-lite-psm/commits","main","{}","","","github.com/makerdao/dss-lite-psm","<pre></pre>"," 82.01 - Solidity<br> 17.9 - Ruby<br> 0.09 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-11","github.com/makerdao/endgame-toolkit/commits","master","{}","","","github.com/makerdao/endgame-toolkit","<pre></pre>"," 97.04 - Solidity<br> 2.96 - Shell"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-23","github.com/makerdao/usds/commits","master","{}","","","github.com/makerdao/usds","<pre></pre>"," 54.66 - Python<br> 44.9 - Solidity<br> 0.45 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-23","github.com/makerdao/sky/commits","master","{}","","","github.com/makerdao/sky","<pre></pre>"," 56.83 - Python<br> 42.72 - Solidity<br> 0.45 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2023-11-02","github.com/makerdao/sdai/commits","master","{}","","","github.com/makerdao/sdai","<pre></pre>"," 99.77 - Solidity<br> 0.23 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-19","github.com/makerdao/lockstake/commits","dev","{}","","","github.com/makerdao/lockstake","<pre></pre>"," 100 - Solidity"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2021-08-18","github.com/makerdao/vote-delegate/commits","master","{}","","","github.com/makerdao/vote-delegate","<pre></pre>"," 95.88 - Solidity<br> 2.16 - Shell<br> 1.96 - Makefile"
"sky","Sky","2022-02-10T07:00:00.000Z","10000000","https://immunefi.com/bounty/sky","2024-09-23","github.com/makerdao/univ2-pool-migrator/commits","master","{}","","","github.com/makerdao/univ2-pool-migrator","<pre></pre>"," 100 - Solidity"
"sparklend","SparkLend","2023-11-01T15:00:00.000Z","5000000","https://immunefi.com/bounty/sparklend","2024-03-19","github.com/marsfoundation/aave-v3-core/commits","master","{}","","","github.com/marsfoundation/aave-v3-core","<pre></pre>"," 57.84 - TypeScript<br> 38.57 - Solidity<br> 2.81 - Ruby<br> 0.46 - Python<br> 0.19 - Shell<br> 0.08 - JavaScript<br> 0.04 - Makefile<br> 0.01 - Dockerfile"
"sparklend","SparkLend","2023-11-01T15:00:00.000Z","5000000","https://immunefi.com/bounty/sparklend","2024-04-16","github.com/marsfoundation/sparklend/commits","master","{}","","","github.com/marsfoundation/sparklend","<pre></pre>"," 94.42 - Solidity<br> 4.51 - Shell<br> 1.08 - Makefile"
